Organism	BioProject	Run	Tissue	Treatment	Isolate	AGE	SRA Study	Sample Name	Bases	Bytes	AvgSpotLen	BioSample	Experiment	ReleaseDate	create_date	Library Name	dev_stage	Cultivar					name
Brassica juncea	PRJNA615316	SRR11787773	Root	-	-	-	SRP261003	J001_root_1	12638381400	4077022992	300	SAMN14908631	SRX8340091	2021-05-01T00:00:00Z	2020-05-13T23:44:00Z	J001_root_1	young seedling	Sichuan Huangzi					Root
Brassica juncea	PRJNA615316	SRR11787774	Root	-	-	After swelling	SRP261003	N448_root_4	11759929800	3833535778	300	SAMN14908630	SRX8340090	2021-05-01T00:00:00Z	2020-05-13T23:52:00Z	N448_root_4	young seedling	Huhehot zhongtoujiecai					Root
Brassica juncea	PRJNA615316	SRR11787775	Root	-	-	After swelling	SRP261003	N448_root_3	11206072800	3638076057	300	SAMN14908629	SRX8340089	2021-05-01T00:00:00Z	2020-05-13T23:54:00Z	N448_root_3	young seedling	Huhehot zhongtoujiecai					Root
Brassica juncea	PRJNA615316	SRR11787776	Leaf	-	-	-	SRP261003	Leaf	7492855800	2608605776	300	SAMN14908680	SRX8340088	2021-05-01T00:00:00Z	2020-05-13T23:33:00Z	Leaf	young seedling	Sichuan Huangzi					Leaf
Brassica juncea	PRJNA615316	SRR11787777	Stem	-	-	-	SRP261003	Stem	7263648900	2535901992	300	SAMN14908679	SRX8340087	2021-05-01T00:00:00Z	2020-05-13T23:33:00Z	Stem	young seedling	Sichuan Huangzi					Stem
Brassica juncea	PRJNA615316	SRR11787778	Root	-	-	-	SRP261003	root	7951562100	2805778314	300	SAMN14908678	SRX8340086	2021-05-01T00:00:00Z	2020-05-13T23:33:00Z	root	young seedling	Sichuan Huangzi					Root
Brassica juncea	PRJNA615316	SRR11787779	Pod	-	-	7 day	SRP261003	7_DAP_pod	7626091800	2640820350	300	SAMN14908677	SRX8340085	2021-05-01T00:00:00Z	2020-05-13T23:32:00Z	7_DAP_pod	young seedling	Sichuan Huangzi					Pod_7days
Brassica juncea	PRJNA615316	SRR11787780	Pod	-	-	20 day	SRP261003	20_DAP_pod_shell	7742284800	2631137735	300	SAMN14908676	SRX8340084	2021-05-01T00:00:00Z	2020-05-13T23:37:00Z	20_DAP_pod_shell	young seedling	Sichuan Huangzi					Pod_20days
Brassica juncea	PRJNA615316	SRR11787781	Seed	-	-	20 day	SRP261003	20_DAP_seed	8211132900	2808867892	300	SAMN14908675	SRX8340083	2021-05-01T00:00:00Z	2020-05-13T23:53:00Z	20_DAP_seed	young seedling	Sichuan Huangzi					Seed_20days
Brassica juncea	PRJNA615316	SRR11787782	Flower_bud	-	-	-	SRP261003	Flower_bud	7492488300	2614257840	300	SAMN14908674	SRX8340082	2021-05-01T00:00:00Z	2020-05-13T23:32:00Z	Flower_bud	young seedling	Sichuan Huangzi					Flower_bud
Brassica juncea	PRJNA615316	SRR11787783	Pod	-	-	15 day	SRP261003	15_DAP_pod	6819879300	2390368631	300	SAMN14908673	SRX8340081	2021-05-01T00:00:00Z	2020-05-13T23:34:00Z	15_DAP_pod	young seedling	Sichuan Huangzi					Pod_15days
Brassica juncea	PRJNA615316	SRR11787784	Root	-	-	Before swelling	SRP261003	N448_root_2	11409910800	3718751866	300	SAMN14908628	SRX8340080	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	N448_root_2	young seedling	Huhehot zhongtoujiecai					Root
Brassica juncea	PRJNA615316	SRR11787785	Stem	-	-	-	SRP261003	J314_2	8236117200	2513464543	300	SAMN14908672	SRX8340079	2021-05-01T00:00:00Z	2020-05-13T23:47:00Z	J314_2	young seedling	Linxiadahuangjie 047					Stem
Brassica juncea	PRJNA615316	SRR11787786	Stem	-	-	-	SRP261003	J314_1	8900164500	2710566265	300	SAMN14908671	SRX8340078	2021-05-01T00:00:00Z	2020-05-13T23:44:00Z	J314_1	young seedling	Linxiadahuangjie 047					Stem
Brassica juncea	PRJNA615316	SRR11787787	Stem	-	CR 2433	-	SRP261003	J220_2	8107337400	2465287657	300	SAMN14908670	SRX8340077	2021-05-01T00:00:00Z	2020-05-13T23:56:00Z	J220_2	young seedling	missing					Stem
Brassica juncea	PRJNA615316	SRR11787788	Stem	-	CR 2433	-	SRP261003	J220_1	8601508500	2619069321	300	SAMN14908669	SRX8340076	2021-05-01T00:00:00Z	2020-05-13T23:37:00Z	J220_1	young seedling	missing					Stem
Brassica juncea	PRJNA615316	SRR11787789	Stem	-	-	-	SRP261003	J127_2	9526146900	2910132409	300	SAMN14908668	SRX8340075	2021-05-01T00:00:00Z	2020-05-13T23:40:00Z	J127_2	young seedling	Xinyou 9					Stem
Brassica juncea	PRJNA615316	SRR11787790	Stem	-	-	-	SRP261003	J127_1	7886913600	2442482141	300	SAMN14908667	SRX8340074	2021-05-01T00:00:00Z	2020-05-13T23:36:00Z	J127_1	young seedling	Xinyou 9					Stem
Brassica juncea	PRJNA615316	SRR11787791	Stem	-	PI 181026	-	SRP261003	J180_2	7183110600	2173132925	300	SAMN14908666	SRX8340073	2021-05-01T00:00:00Z	2020-05-13T23:48:00Z	J180_2	young seedling	missing					Stem
Brassica juncea	PRJNA615316	SRR11787792	Stem	-	PI 181026	-	SRP261003	J180_1	10696317000	3253927373	300	SAMN14908665	SRX8340072	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	J180_1	young seedling	missing					Stem
Brassica juncea	PRJNA615316	SRR11787793	Stem	-	-	-	SRP261003	J003_2	8740998300	2666784892	300	SAMN14908664	SRX8340071	2021-05-01T00:00:00Z	2020-05-13T23:43:00Z	J003_2	young seedling	Shigatse 760049					Stem
Brassica juncea	PRJNA615316	SRR11787794	Root	-	-	-	SRP261003	T000_root_2	13984625100	4533926821	300	SAMN14908634	SRX8340070	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	T000_root_2	young seedling	T84-66					Root
Brassica juncea	PRJNA615316	SRR11787795	Root	-	-	-	SRP261003	T000_root_1	11913623700	3873983568	300	SAMN14908633	SRX8340069	2021-05-01T00:00:00Z	2020-05-13T23:42:00Z	T000_root_1	young seedling	T84-66					Root
Brassica juncea	PRJNA615316	SRR11787796	Root	-	-	Before swelling	SRP261003	N410_root_2	12409580400	3968478669	300	SAMN14908624	SRX8340068	2021-05-01T00:00:00Z	2020-05-13T23:43:00Z	N410_root_2	young seedling	Japan daguangtou					Root
Brassica juncea	PRJNA615316	SRR11787797	Root	-	-	Before swelling	SRP261003	N410_root_1	12437935200	4073241188	300	SAMN14908623	SRX8340067	2021-05-01T00:00:00Z	2020-05-13T23:51:00Z	N410_root_1	young seedling	Japan daguangtou					Root
Brassica juncea	PRJNA615316	SRR11787798	Stem	-	-	-	SRP261003	J003_1	9420256200	2860656617	300	SAMN14908663	SRX8340066	2021-05-01T00:00:00Z	2020-05-13T23:42:00Z	J003_1	young seedling	Shigatse 760049					Stem
Brassica juncea	PRJNA615316	SRR11787799	Root	-	-	Before swelling	SRP261003	N448_root_1	14321961900	4692821810	300	SAMN14908627	SRX8340065	2021-05-01T00:00:00Z	2020-05-13T23:53:00Z	N448_root_1	young seedling	Huhehot zhongtoujiecai					Root
Brassica juncea	PRJNA615316	SRR11787800	Stem	-	-	After swelling stage 1	SRP261003	T394_4	9326605800	2843969430	300	SAMN14908662	SRX8340064	2021-05-01T00:00:00Z	2020-05-13T23:44:00Z	T394_4	young seedling	Fujiangzhacai					Stem
Brassica juncea	PRJNA615316	SRR11787801	Stem	-	-	After swelling stage 2	SRP261003	T394_3	8368202400	2582247591	300	SAMN14908661	SRX8340063	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	T394_3	young seedling	Fujiangzhacai					Stem
Brassica juncea	PRJNA615316	SRR11787802	Stem	-	-	After swelling stage 2	SRP261003	T394_2	8296170600	2524313354	300	SAMN14908660	SRX8340062	2021-05-01T00:00:00Z	2020-05-13T23:42:00Z	T394_2	young seedling	Fujiangzhacai					Stem
Brassica juncea	PRJNA615316	SRR11787803	Stem	-	-	After swelling stage 1	SRP261003	T394_1	9003910500	2739621261	300	SAMN14908659	SRX8340061	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	T394_1	young seedling	Fujiangzhacai					Stem
Brassica juncea	PRJNA615316	SRR11787804	Stem	-	-	After swelling stage 2	SRP261003	T332_5	8240004000	2540794296	300	SAMN14908658	SRX8340060	2021-05-01T00:00:00Z	2020-05-13T23:44:00Z	T332_5	young seedling	Xiaoyezhacai					Stem
Brassica juncea	PRJNA615316	SRR11787805	Stem	-	-	After swelling stage 2	SRP261003	T332_4	9321697500	2845106903	300	SAMN14908657	SRX8340059	2021-05-01T00:00:00Z	2020-05-13T23:40:00Z	T332_4	young seedling	Xiaoyezhacai					Stem
Brassica juncea	PRJNA615316	SRR11787806	Stem	-	-	After swelling stage 1	SRP261003	T332_3	6886992000	2099520484	300	SAMN14908656	SRX8340058	2021-05-01T00:00:00Z	2020-05-13T23:39:00Z	T332_3	young seedling	Xiaoyezhacai					Stem
Brassica juncea	PRJNA615316	SRR11787807	Stem	-	-	After swelling stage 1	SRP261003	T332_2	6542135700	2004754931	300	SAMN14908655	SRX8340057	2021-05-01T00:00:00Z	2020-05-13T23:43:00Z	T332_2	young seedling	Xiaoyezhacai					Stem
Brassica juncea	PRJNA615316	SRR11787808	Stem	-	-	After swelling stage 1	SRP261003	T275S2	8320455000	2536099353	300	SAMN14908654	SRX8340056	2021-05-01T00:00:00Z	2020-05-13T23:43:00Z	T275S2	young seedling	Z29-1					Stem
Brassica juncea	PRJNA615316	SRR11787809	Stem	-	-	After swelling stage 1	SRP261003	T275S1	8917767900	2723726467	300	SAMN14908653	SRX8340055	2021-05-01T00:00:00Z	2020-05-13T23:42:00Z	T275S1	young seedling	Z29-1					Stem
Brassica juncea	PRJNA615316	SRR11787810	Root	-	-	After swelling	SRP261003	N410_root_4	11847523500	3693503399	300	SAMN14908626	SRX8340054	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	N410_root_4	young seedling	Japan daguangtou					Root
Brassica juncea	PRJNA615316	SRR11787811	Stem	-	-	After swelling stage 2	SRP261003	T275_4	8366092200	2549951705	300	SAMN14908652	SRX8340053	2021-05-01T00:00:00Z	2020-05-13T23:44:00Z	T275_4	young seedling	Z29-1					Stem
Brassica juncea	PRJNA615316	SRR11787812	Stem	-	-	After swelling stage 2	SRP261003	T275_1	8704459200	2659169412	300	SAMN14908651	SRX8340052	2021-05-01T00:00:00Z	2020-05-13T23:42:00Z	T275_1	young seedling	Z29-1					Stem
Brassica juncea	PRJNA615316	SRR11787813	Stem	-	-	After swelling stage 2	SRP261003	T274_6	9658212600	2967922156	300	SAMN14908650	SRX8340051	2021-05-01T00:00:00Z	2020-05-13T23:49:00Z	T274_6	young seedling	Z38-1-1-1(08ZC-6)					Stem
Brassica juncea	PRJNA615316	SRR11787814	Stem	-	-	After swelling stage 2	SRP261003	T274_5	8233062000	2514876301	300	SAMN14908649	SRX8340050	2021-05-01T00:00:00Z	2020-05-13T23:45:00Z	T274_5	young seedling	Z38-1-1-1(08ZC-6)					Stem
Brassica juncea	PRJNA615316	SRR11787815	Stem	-	-	After swelling stage 1	SRP261003	T274_4	7011265500	2148342356	300	SAMN14908648	SRX8340049	2021-05-01T00:00:00Z	2020-05-13T23:40:00Z	T274_4	young seedling	Z38-1-1-1(08ZC-6)					Stem
Brassica juncea	PRJNA615316	SRR11787816	Stem	-	-	After swelling stage 1	SRP261003	T274_3	8565762600	2623488995	300	SAMN14908647	SRX8340048	2021-05-01T00:00:00Z	2020-05-13T23:46:00Z	T274_3	young seedling	Z38-1-1-1(08ZC-6)					Stem
Brassica juncea	PRJNA615316	SRR11787817	Leaf	-	-	-	SRP261003	J001_leaf_2	12926907300	4269034489	300	SAMN14908646	SRX8340047	2021-05-01T00:00:00Z	2020-05-14T00:03:00Z	J001_leaf_2	young seedling	Sichuan Huangzi					Leaf
Brassica juncea	PRJNA615316	SRR11787818	Leaf	-	-	-	SRP261003	J001_leaf_1	13857849900	4376776496	300	SAMN14908645	SRX8340046	2021-05-01T00:00:00Z	2020-05-13T23:52:00Z	J001_leaf_1	young seedling	Sichuan Huangzi					Leaf
Brassica juncea	PRJNA615316	SRR11787819	Leaf	-	-	-	SRP261003	N009_leaf_2	12714383700	4135275096	300	SAMN14908644	SRX8340045	2021-05-01T00:00:00Z	2020-05-13T23:50:00Z	N009_leaf_2	young seedling	Datoucai					Leaf
Brassica juncea	PRJNA615316	SRR11787820	Leaf	-	-	-	SRP261003	N009_leaf_1	12100448100	3973147263	300	SAMN14908643	SRX8340044	2021-05-01T00:00:00Z	2020-05-13T23:52:00Z	N009_leaf_1	young seedling	Datoucai					Leaf
Brassica juncea	PRJNA615316	SRR11787821	Root	-	-	After swelling	SRP261003	N410_root_3	13337759400	4366357254	300	SAMN14908625	SRX8340043	2021-05-01T00:00:00Z	2020-05-13T23:58:00Z	N410_root_3	young seedling	Japan daguangtou					Root
Brassica juncea	PRJNA615316	SRR11787822	Leaf	-	-	-	SRP261003	I005_leaf_2	13087388400	4276513454	300	SAMN14908642	SRX8340042	2021-05-01T00:00:00Z	2020-05-13T23:55:00Z	I005_leaf_2	young seedling	Purple leaf Mustard					Leaf
Brassica juncea	PRJNA615316	SRR11787823	Leaf	-	-	-	SRP261003	I005_leaf_1	12917420100	4175740754	300	SAMN14908641	SRX8340041	2021-05-01T00:00:00Z	2020-05-14T00:01:00Z	I005_leaf_1	young seedling	Purple leaf Mustard					Leaf
Brassica juncea	PRJNA615316	SRR11787824	Leaf	-	-	-	SRP261003	N449_leaf_2	12951367800	4209478165	300	SAMN14908640	SRX8340040	2021-05-01T00:00:00Z	2020-05-14T00:09:00Z	N449_leaf_2	young seedling	Huhehot xiaotoujiecai					Leaf
Brassica juncea	PRJNA615316	SRR11787825	Leaf	-	-	-	SRP261003	N449_leaf_1	12869925300	4163007446	300	SAMN14908639	SRX8340039	2021-05-01T00:00:00Z	2020-05-13T23:55:00Z	N449_leaf_1	young seedling	Huhehot xiaotoujiecai					Leaf
Brassica juncea	PRJNA615316	SRR11787826	Leaf	-	-	-	SRP261003	N448_leaf_2	13331397600	4186571606	300	SAMN14908638	SRX8340038	2021-05-01T00:00:00Z	2020-05-14T00:00:00Z	N448_leaf_2	young seedling	Huhehot zhongtoujiecai					Leaf
Brassica juncea	PRJNA615316	SRR11787827	Leaf	-	-	-	SRP261003	N448_leaf_1	11977999500	3976309363	300	SAMN14908637	SRX8340037	2021-05-01T00:00:00Z	2020-05-14T00:07:00Z	N448_leaf_1	young seedling	Huhehot zhongtoujiecai					Leaf
Brassica juncea	PRJNA615316	SRR11787828	Leaf	-	-	-	SRP261003	N331_leaf_2	12918040500	4231979469	300	SAMN14908636	SRX8340036	2021-05-01T00:00:00Z	2020-05-14T00:02:00Z	N331_leaf_2	young seedling	Hushijiaoqudatoujiecai					Leaf
Brassica juncea	PRJNA615316	SRR11787829	Leaf	-	-	-	SRP261003	N331_leaf_1	11854245600	3842072989	300	SAMN14908635	SRX8340035	2021-05-01T00:00:00Z	2020-05-14T00:05:00Z	N331_leaf_1	young seedling	Hushijiaoqudatoujiecai					Leaf
Brassica oleracea	PRJNA633531	SRR11806729	Leaf	-	-	-	SRP262145	E3_W_JL	7923317400	2555113455	300	SAMN14945192	SRX8358133	2021-04-30T00:00:00Z	2020-05-18T11:42:00Z	E3_W_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806730	Leaf	-	-	-	SRP262145	E10_2_F	9671813100	3121219512	300	SAMN14945191	SRX8358132	2021-04-30T00:00:00Z	2020-05-18T11:45:00Z	E10_2_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806731	Leaf	-	-	-	SRP262145	D9_2_F	10100153400	3236913888	300	SAMN14945190	SRX8358131	2021-04-30T00:00:00Z	2020-05-18T11:50:00Z	D9_2_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806732	Leaf	-	-	-	SRP262145	B10_2_F	8000874000	2584178020	300	SAMN14945189	SRX8358130	2021-04-30T00:00:00Z	2020-05-18T11:47:00Z	B10_2_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806733	Leaf	-	-	-	SRP262145	H9_1_F	8892096300	2898284024	300	SAMN14945188	SRX8358129	2021-04-30T00:00:00Z	2020-05-18T11:46:00Z	H9_1_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806734	Leaf	-	-	-	SRP262145	F9_1_F	9707040900	3143305024	300	SAMN14945187	SRX8358128	2021-04-30T00:00:00Z	2020-05-18T11:43:00Z	F9_1_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806735	Leaf	-	-	-	SRP262145	B11_1_F	8676337200	2805301678	300	SAMN14945186	SRX8358127	2021-04-30T00:00:00Z	2020-05-18T11:48:00Z	B11_1_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806736	Leaf	-	-	-	SRP262145	D9_2_ML	9870485700	3083992323	300	SAMN14945209	SRX8358126	2021-04-30T00:00:00Z	2020-05-18T11:46:00Z	D9_2_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806737	Leaf	-	-	-	SRP262145	B10_2_ML	8370713100	2694982730	300	SAMN14945208	SRX8358125	2021-04-30T00:00:00Z	2020-05-18T11:53:00Z	B10_2_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806738	Leaf	-	-	-	SRP262145	A10_2_ML	9476055900	3016980165	300	SAMN14945207	SRX8358124	2021-04-30T00:00:00Z	2020-05-18T11:50:00Z	A10_2_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806739	Leaf	-	-	-	SRP262145	G10_1_ML	8699094300	2769332493	300	SAMN14945206	SRX8358123	2021-04-30T00:00:00Z	2020-05-18T11:52:00Z	G10_1_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806740	Leaf	-	-	-	SRP262145	F9_1_ML	7938332700	2531443239	300	SAMN14945205	SRX8358122	2021-04-30T00:00:00Z	2020-05-18T11:42:00Z	F9_1_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806741	Leaf	-	-	-	SRP262145	B11_1_ML	7633920000	2456201429	300	SAMN14945204	SRX8358121	2021-04-30T00:00:00Z	2020-05-18T11:47:00Z	B11_1_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806742	Leaf	-	-	-	SRP262145	H3_W_ML	8278967400	2664937428	300	SAMN14945203	SRX8358120	2021-04-30T00:00:00Z	2020-05-18T11:47:00Z	H3_W_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806743	Leaf	-	-	-	SRP262145	H3_W_F	10060299300	3086372898	300	SAMN14945185	SRX8358119	2021-04-30T00:00:00Z	2020-05-18T11:56:00Z	H3_W_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806744	Leaf	-	-	-	SRP262145	F5_W_ML	7704455100	2477852685	300	SAMN14945202	SRX8358118	2021-04-30T00:00:00Z	2020-05-18T11:40:00Z	F5_W_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806745	Leaf	-	-	-	SRP262145	E3_W_ML	9598368300	3081017235	300	SAMN14945201	SRX8358117	2021-04-30T00:00:00Z	2020-05-18T11:48:00Z	E3_W_ML	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806746	Leaf	-	-	-	SRP262145	D9_2_JL	8501605200	2725290757	300	SAMN14945200	SRX8358116	2021-04-30T00:00:00Z	2020-05-18T11:41:00Z	D9_2_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806747	Leaf	-	-	-	SRP262145	B10_2_JL	8498628600	2755145207	300	SAMN14945199	SRX8358115	2021-04-30T00:00:00Z	2020-05-18T11:45:00Z	B10_2_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806748	Leaf	-	-	-	SRP262145	A10_2_JL	8165462400	2663287525	300	SAMN14945198	SRX8358114	2021-04-30T00:00:00Z	2020-05-18T11:45:00Z	A10_2_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806749	Leaf	-	-	-	SRP262145	G10_1_JL	7734857700	2509793354	300	SAMN14945197	SRX8358113	2021-04-30T00:00:00Z	2020-05-18T11:39:00Z	G10_1_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806750	Leaf	-	-	-	SRP262145	F9_1_JL	7484318100	2417124916	300	SAMN14945196	SRX8358112	2021-04-30T00:00:00Z	2020-05-18T11:39:00Z	F9_1_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806751	Leaf	-	-	-	SRP262145	B11_1_JL	11227820400	3604639076	300	SAMN14945195	SRX8358111	2021-04-30T00:00:00Z	2020-05-18T11:47:00Z	B11_1_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806752	Leaf	-	-	-	SRP262145	H3_W_JL	8233602900	2653476737	300	SAMN14945194	SRX8358110	2021-04-30T00:00:00Z	2020-05-18T11:56:00Z	H3_W_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806753	Leaf	-	-	-	SRP262145	F5_W_JL	8261130000	2643899705	300	SAMN14945193	SRX8358109	2021-04-30T00:00:00Z	2020-05-18T11:57:00Z	F5_W_JL	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806754	Leaf	-	-	-	SRP262145	F5_W_F	8594927700	2799621680	300	SAMN14945184	SRX8358108	2021-04-30T00:00:00Z	2020-05-18T11:41:00Z	F5_W_F	-	AG DH1012					Leaf
Brassica oleracea	PRJNA633531	SRR11806755	Leaf	-	-	-	SRP262145	A4_W_F	9314773200	2987780383	300	SAMN14945183	SRX8358107	2021-04-30T00:00:00Z	2020-05-18T11:46:00Z	A4_W_F	-	AG DH1012					Leaf
Brassica rapa	PRJNA634805	SRR11852194	Leaf	-	-	-	SRP264854	SD_S1	6206088300	2378756324	300	SAMN15009505	SRX8402304	2021-12-28T00:00:00Z	2020-05-26T23:58:00Z	Chinese cabbage (P1S-1A)	seedling	Chinese cabbage					Leaf
Brassica rapa	PRJNA634805	SRR11869900	Leaf	-	-	-	SRP264854	SD_H1	6142981200	2343282234	300	SAMN15029892	SRX8419889	2021-12-28T00:00:00Z	2020-05-28T22:23:00Z	Chinese cabbage (P1H-1A)	early headling stage	Chinese cabbage					Leaf
Brassica nigra	PRJNA516907	SRR11906212	Bud	-	-	-	SRP181901	CN115125_Buds	10308631032	3611246687	252	SAMN15080643	SRX8452795	2020-06-02T00:00:00Z	2020-06-02T04:00:00Z	CN115125 Buds RNASeq	reproduction	CN115125					Bud
Brassica nigra	PRJNA516907	SRR11906213	Leaf	-	-	-	SRP181901	CN115125_Leafs	9732331224	3362948253	252	SAMN15080642	SRX8452794	2020-06-02T00:00:00Z	2020-06-02T03:58:00Z	CN115125 Leaf RNASeq	growth	CN115125					Leaf
Brassica napus	PRJNA637700	SRR11940011	Flower_bud	-	-	-	SRP266218	H-S3	9797123700	3004343419	300	SAMN15151093	SRX8484516	2022-07-12T00:00:00Z	2020-06-06T08:18:00Z	HMA-3	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940012	Flower_bud	-	-	-	SRP266218	H-S2	8909292600	2751143168	300	SAMN15151092	SRX8484515	2022-07-12T00:00:00Z	2020-06-06T08:17:00Z	HMA-2	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940013	Flower_bud	-	-	-	SRP266218	H-2	5767328598	2396113166	294	SAMN15151083	SRX8484514	2022-07-12T00:00:00Z	2020-06-06T08:17:00Z	DH-2	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940014	Flower_bud	-	-	-	SRP266218	H-1	4461201104	1873553017	295	SAMN15151082	SRX8484513	2022-07-12T00:00:00Z	2020-06-06T08:12:00Z	DH-1	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940015	Flower_bud	-	-	-	SRP266218	H-S1	9165049500	2839887612	300	SAMN15151091	SRX8484512	2022-07-12T00:00:00Z	2020-06-06T08:20:00Z	HMA-1	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940016	Flower_bud	-	-	-	SRP266218	H-H3	8922461100	2754665390	300	SAMN15151090	SRX8484511	2022-07-12T00:00:00Z	2020-06-06T08:22:00Z	H-3	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940017	Flower_bud	-	-	-	SRP266218	H-H2	8819722800	2703381326	300	SAMN15151089	SRX8484510	2022-07-12T00:00:00Z	2020-06-06T08:24:00Z	H-2	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940018	Flower_bud	-	-	-	SRP266218	H-H1	9285921300	2896819199	300	SAMN15151088	SRX8484509	2022-07-12T00:00:00Z	2020-06-06T08:25:00Z	H-1	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940019	Flower_bud	-	-	-	SRP266218	S-3	4871675008	2015200918	293	SAMN15151087	SRX8484508	2022-07-12T00:00:00Z	2020-06-06T08:14:00Z	MA-3	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940020	Flower_bud	-	-	-	SRP266218	S-2	5996891444	2544980753	295	SAMN15151086	SRX8484507	2022-07-12T00:00:00Z	2020-06-06T08:16:00Z	MA-2	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940021	Flower_bud	-	-	-	SRP266218	S-1	5549117308	2319188065	294	SAMN15151085	SRX8484506	2022-07-12T00:00:00Z	2020-06-06T08:14:00Z	MA-1	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940022	Flower_bud	-	-	-	SRP266218	H-3	4735599555	1983374843	294	SAMN15151084	SRX8484505	2022-07-12T00:00:00Z	2020-06-06T08:14:00Z	DH-3	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940023	Flower_bud	-	-	-	SRP266218	DS-3	7921407300	2529556585	300	SAMN15151096	SRX8484504	2022-07-12T00:00:00Z	2020-06-06T08:16:00Z	DMA-3	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940024	Flower_bud	-	-	-	SRP266218	DS-2	8109345000	2580188884	300	SAMN15151095	SRX8484503	2022-07-12T00:00:00Z	2020-06-06T08:18:00Z	DMA-2	flowering stage	Huashuang3					Flower_bud
Brassica napus	PRJNA637700	SRR11940025	Flower_bud	-	-	-	SRP266218	DS-1	8213238900	2622301021	300	SAMN15151094	SRX8484502	2022-07-12T00:00:00Z	2020-06-06T08:18:00Z	DMA-1	flowering stage	Huashuang3					Flower_bud
Brassica rapa	PRJNA641876	SRR12091170	Embryo	-	-	-	SRP268811	GSM4636950	5722281432	1964241630	252	SAMN15369032	SRX8617073	2021-08-23T00:00:00Z	2020-06-25T13:41:00Z	-	-	-					Embryo
Brassica rapa	PRJNA641876	SRR12091171	Embryo	-	-	-	SRP268811	GSM4636951	7590473604	2644643685	252	SAMN15369031	SRX8617074	2021-08-23T00:00:00Z	2020-06-25T13:46:00Z	-	-	-					Embryo
Brassica rapa	PRJNA641876	SRR12091172	Embryo	-	-	-	SRP268811	GSM4636952	8329491576	3195440485	252	SAMN15369030	SRX8617075	2021-08-23T00:00:00Z	2020-06-25T13:50:00Z	-	-	-					Embryo
Brassica rapa	PRJNA641876	SRR12091173	Embryo	-	-	-	SRP268811	GSM4636953	6881267988	2649005689	252	SAMN15369029	SRX8617133	2021-08-23T00:00:00Z	2020-06-25T13:39:00Z	-	-	-					Embryo
